Reference, Quantity, Value, Footprint, Datasheet, Mfr Part #, Supplier, Supplier Part #
C3 C2 C4 ,3,"10nF","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","CD1H103KC94ER1D000","LCSC","C263180"
C6 C7 C8 C5 ,4,"0.1uF","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","CD1H104MC9BEF4D000","LCSC","C263185"
C9 C1 ,2,"1uF","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","CD1H105MC9BEF4E000","LCSC","C263189"
H1 H3 H2 H4 ,4,"MountingHole","MountingHole:MountingHole_2.5mm","~"
J1 J3 J4 J5 J2 ,5,"Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
R4 R6 R2 R3 R1 ,5,"1kR","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
R5 ,1,"1MR","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
RV1 ,1,"1M_POT","Potentiometer_THT:Potentiometer_Runtron_RM-065_Vertical","~"
SW1 ,1,"SW_Push","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
SW2 ,1,"SW_Push_DPDT","chinesium:DPDT-Latching-PB12E06371","https://datasheet.lcsc.com/szlcsc/1810231713_GANGYUAN-PB12E06371_C194402.pdf","PB12E06371","LCSC","C194402"
U3 U1 U2 ,3,"NE555","Package_DIP:DIP-8_W7.62mm","https://datasheet.lcsc.com/szlcsc/1912111437_HGSEMI-NE555N_C398063.pdf","NE555N","LCSC","C398063"
U4 ,1,"SN74HC08N","Package_DIP:DIP-14_W7.62mm","https://datasheet.lcsc.com/szlcsc/1810081044_Texas-Instruments-SN74HC08N_C2887.pdf","SN74HC08N","LCSC","C2887"
U5 ,1,"74HC04N","Package_DIP:DIP-14_W7.62mm","https://datasheet.lcsc.com/szlcsc/2004021807_HGSEMI-74HC04N_C507192.pdf","74HC04N","LCSC","C507192"
U6 ,1,"SN74HC32N","Package_DIP:DIP-14_W7.62mm","https://datasheet.lcsc.com/szlcsc/1810201813_Texas-Instruments-SN74HC32N_C2894.pdf","SN74HC32N","LCSC","C2894"
